oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
851201400007970,103921997,2458793.7221402316,58793.2199769,13.9686651,0.0116424719,0,zr,325.3485849,65.9271479,3.13100004,-0.0769999996,20191106219919,851,0x1,0x4,19.8700008,25.9357605,0.041914437,0.0885316581,1.86299749e-05,30,1.42299998,3
851201400007970,103923090,2458793.7330659875,58793.2309028,13.8883762,0.011613152,0,zr,325.3485028,65.9271371,1.32000005,-0.0500000007,20191106230845,851,0x1,0x4,20.1299992,25.8601856,0.0274361409,0.113860346,8.01431997e-06,30,1.45599997,3
851201400007970,104021979,2458794.7219421715,58794.2197917,13.9511404,0.0116358437,0,zr,325.3484663,65.9271484,1.051,-0.0340000018,20191107219734,851,0x1,0x4,20.4200001,25.9001732,0.0180088785,0.0833876207,3.42057706e-06,30,1.43099999,3
851201400007970,104109274,2458795.5948818796,58795.0927431,13.9553423,0.0116374213,0,zr,325.3484516,65.9271305,1.18099999,0.0270000007,20191108092743,851,0x1,0x4,20.5699997,25.9073601,0.0176046081,0.0729719326,3.32190552e-06,30,1.24000001,3
851201400007970,104109365,2458795.5957961692,58795.0936574,13.9300842,0.0116280522,0,zr,325.3485132,65.927155,1.91199994,-0.0719999969,20191108093646,851,0x1,0x4,20.3099995,25.9000149,0.01947405,0.0920658112,4.01189436e-06,30,1.24000001,1
851201400007970,104122008,2458795.7222180124,58795.220081,13.9287119,0.0116275512,0,zr,325.3485245,65.927155,1.91999996,-0.064000003,20191108220023,851,0x1,0x4,19.9300003,25.9536648,0.0218866784,0.0876468495,5.0849826e-06,30,1.43900001,3
851201400007970,104123100,2458795.7331437557,58795.2310069,13.9148636,0.0116225332,0,zr,325.3484581,65.927129,2.7579999,-0.0280000009,20191108230949,851,0x1,0x4,19.7199993,25.9447765,0.0226974431,0.0918306857,5.43854048e-06,30,1.47399998,3
851201400007970,104222037,2458796.722493357,58796.2203704,13.8886938,0.0116132628,0,zr,325.3485592,65.9271455,2.33899999,-0.0790000036,20191109220312,851,0x1,0x4,19.6800003,25.9275379,0.0234779026,0.104131103,5.81930362e-06,30,1.449,3
851201400007970,104223130,2458796.7334306943,58796.2313079,13.969923,0.0116429534,0,zr,325.3485166,65.9271459,3.44400001,-0.0529999994,20191109231250,851,0x1,0x4,19.7000008,26.0300808,0.0340528153,0.0479944423,1.23125219e-05,30,1.48399997,3
851201400007970,104312189,2458797.624007903,58797.1218981,13.9472675,0.0116343973,0,zr,325.3484847,65.9271254,0.449000001,-0.0219999999,20191110121840,851,0x1,0x4,20.2900009,25.8912621,0.0179943852,0.0849433765,3.42384942e-06,30,1.26199996,3
851201400007970,104312281,2458797.624922288,58797.1228125,13.9707527,0.01164327,0,zr,325.3484474,65.9271249,1.13199997,-0.0540000014,20191110122812,851,0x1,0x4,20.3600006,25.8848362,0.0197863951,0.0907365531,4.18747868e-06,30,1.26300001,1
851201400007970,104420081,2458798.7029035897,58798.2008102,13.9189329,0.011624,0,zr,325.3484486,65.9271357,1.02699995,-0.0209999997,20191111200799,851,0x1,0x4,20.0599995,25.9078846,0.0230798572,0.098448962,5.65862911e-06,30,1.40799999,3
851201400007970,104426129,2458798.7633887264,58798.2612963,13.9273653,0.0116270594,0,zr,325.3484645,65.9271374,1.13399994,-0.104000002,20191111261296,851,0x1,0x4,19.75,25.8773708,0.0219505839,0.0998189002,5.00817168e-06,30,1.625,1
851201400007970,104627954,2458800.781608459,58800.2795486,13.9732656,0.011644233,0,zr,325.3484217,65.9271189,2.67000008,0.00999999978,20191113279491,851,0x1,0x4,19.9400005,25.8985729,0.0199804772,0.0757131949,4.21819777e-06,30,1.74399996,3
851201400007970,104628057,2458800.7826385424,58800.2805787,13.9878597,0.0116498796,0,zr,325.3484443,65.9271282,1.24300003,0.0410000011,20191113280509,851,0x1,0x4,19.9099998,25.8812428,0.0202273186,0.085463278,4.31321996e-06,30,1.74899995,1
851201400007970,104723879,2458801.7408398846,58801.2387963,13.970293,0.0116430949,0,zr,325.3484592,65.927137,1.10800004,0.0170000009,20191114238727,851,0x1,0x4,19.8400002,25.8984108,0.0212635286,0.0824734345,4.80049448e-06,30,1.56299996,3
851201400007970,104723969,2458801.741742667,58801.2396991,13.9619751,0.0116399266,0,zr,325.3484118,65.9271339,0.912999988,0.00300000003,20191114239699,851,0x1,0x4,19.6900005,25.8860626,0.021910606,0.0849012956,5.11811731e-06,30,1.56700003,1
851201400007970,105023420,2458804.7361907517,58804.2342014,13.913866,0.0116221746,0,zr,325.3484958,65.9271374,1.58700001,-0.00800000038,20191117234144,851,0x1,0x4,19.5200005,25.8667812,0.0252942666,0.10237702,6.80420271e-06,30,1.57799995,1
851201400007970,105023511,2458804.7371050376,58804.2351157,13.9275827,0.0116271386,0,zr,325.3485854,65.9271448,0.731000006,0.0399999991,20191117235104,851,0x1,0x4,19.3299999,25.8695488,0.0269623864,0.103447311,7.78760204e-06,30,1.58200002,3
851201400007970,105121504,2458805.717016809,58805.2150463,13.9658947,0.0116414158,0,zr,325.3484489,65.9271303,1.204,-0.0590000004,20191118214988,851,0x1,0x4,20.2199993,25.7489777,0.0254638474,0.0914670229,6.81279516e-06,30,1.51400006,3
851201400007970,105121594,2458805.717919592,58805.2159491,13.9637327,0.0116405934,0,zr,325.3484679,65.927134,0.639999986,-0.00100000005,20191118215949,851,0x1,0x4,20.4899998,25.9018078,0.0167833269,0.0942532122,2.97959605e-06,30,1.51699996,1
851201400007970,105810012,2458812.6019509127,58812.1001273,14.0450726,0.0116729205,0,zr,325.3484958,65.9271387,0.405000001,-0.00899999961,20191125100069,851,0x1,0x4,20.3199997,25.8898697,0.0224350076,0.0908851773,5.37107462e-06,30,1.28299999,1
851201400007970,105906944,2458813.5712453425,58813.0694444,14.0774374,0.011686611,0,zr,325.3485004,65.9272208,1.53199995,0.0599999987,20191126069444,851,0x1,0x4,18.2999992,25.9032402,0.0435778461,0.0968149602,2.15879918e-05,30,1.25399995,1
851201400007970,106015954,2458814.661323455,58814.1595486,14.0837345,0.0116893323,0,zr,325.3485005,65.9271354,0.80400002,-0.0179999992,20191127159549,851,0x1,0x4,19.8500004,25.6913948,0.023239119,0.0912449732,5.75661579e-06,30,1.41400003,1
851201400007970,107708098,2458831.5822852934,58831.0809838,14.2589369,0.0117729548,0,zr,325.3484635,65.9271346,1.12,-0.050999999,20191214080972,851,0x1,0x4,20.75,26.0530796,0.0148988115,0.0877449661,2.36481196e-06,30,1.33800006,3
851201400007970,107708188,2458831.583188065,58831.0818866,14.2620649,0.0117745958,0,zr,325.3484662,65.9271353,0.967000008,-0.0289999992,20191214081887,851,0x1,0x4,20.75,26.0502243,0.0147970924,0.0923633203,2.32153798e-06,30,1.34000003,1
851201400007970,107907930,2458833.5805437574,58833.0793056,14.2464867,0.0117664803,0,zr,325.3485076,65.9271489,1.15900004,-0.0370000005,20191216079294,851,0x1,0x4,20.2900009,26.0398464,0.0178719256,0.0858351737,3.42381418e-06,30,1.34500003,1
851201400007970,108309804,2458837.5991508444,58837.098044,14.2341166,0.0117601333,0,zr,325.3484385,65.9271316,1.13600004,-0.0680000037,20191220097986,851,0x1,0x4,20.5200005,26.0412788,0.0163731091,0.0850048587,2.8720026e-06,30,1.41799998,1
851201400007970,110011608,2458854.6165949428,58854.116088,13.9308224,0.0116283223,0,zr,325.3485297,65.927155,0.933000028,0.0299999993,20200106116088,851,0x1,0x4,19.3299999,26.0167675,0.0264428668,0.10221494,7.38442805e-06,30,1.66100001,1
851201400007970,120144763,2458955.9456832325,58955.4476389,13.6311407,0.0115355086,0,zr,325.34855,65.9271371,0.601999998,-0.0329999998,20200416447639,851,0x1,0x4,20.2800007,25.9440441,0.0173006803,0.094529815,3.14118074e-06,30,1.59599996,1
851201400007970,120745179,2458961.9498554496,58961.451794,13.6416273,0.0115382355,0,zr,325.3484503,65.9271517,0.818000019,-0.0120000001,20200422451794,851,0x1,0x4,20.1200008,25.9067211,0.0277032517,0.0903140604,8.14182204e-06,30,1.51400006,1
851201400007970,120846928,2458962.9673489677,58962.4692824,13.6566057,0.0115421889,0,zr,325.3485429,65.9271314,0.823000014,-0.057,20200423469282,851,0x1,0x4,20.6000004,25.9575615,0.0171271525,0.09920118,3.07464711e-06,30,1.44599998,1
851201400007970,121044530,2458964.9433792084,58964.4453009,13.6697903,0.0115457289,0,zr,325.3484968,65.9271245,0.685000002,-0.00600000005,20200425445301,851,0x1,0x4,20.9899998,25.9466457,0.0162185114,0.0897977427,2.73473574e-06,30,1.50699997,1
851201400007970,121145101,2458965.9491037084,58965.4510185,13.6711216,0.0115460893,0,zr,325.3485162,65.9271292,0.875,-0.0320000015,20200426450949,851,0x1,0x4,20.9899998,25.9620152,0.0152685344,0.0869509727,2.45585966e-06,30,1.47800004,1
851201400007970,121246781,2458966.965905316,58966.4678125,13.6782331,0.0115480255,0,zr,325.3484958,65.9271295,1.23199999,-0.0280000009,20200427467812,851,0x1,0x4,21.0599995,25.9452686,0.0154343275,0.0868156925,2.51989877e-06,30,1.41799998,1
851201400007970,121340704,2458967.905148963,58967.4070486,13.6472015,0.0115396986,0,zr,325.3484732,65.9271414,0.994000018,-0.0649999976,20200428407049,851,0x1,0x4,20.6000004,25.92272,0.0186999962,0.0946155936,3.63674144e-06,30,1.63100004,1
851201400007970,121442136,2458968.9194748458,58968.4213657,13.6770544,0.0115477033,0,zr,325.3485197,65.9271284,0.888000011,0.00700000022,20200429421366,851,0x1,0x4,21.0699997,25.9885941,0.0152984252,0.09144146,2.42961073e-06,30,1.55700004,1
851201400007970,121643008,2458970.928209345,58970.430081,13.6478996,0.011539883,0,zr,325.3485342,65.9271267,0.648999989,-0.0240000002,20200501430012,851,0x1,0x4,20.7800007,25.986412,0.017723849,0.0990111306,3.27208818e-06,30,1.50300002,1
851201400007970,121737537,2458971.873508575,58971.3753704,13.6294174,0.0115350634,0,zr,325.3485921,65.9271484,1.07200003,-0.0130000003,20200502375324,851,0x1,0x4,19.9400005,25.9362545,0.0205296613,0.101608507,4.4527419e-06,30,1.73399997,1
851201400007970,121841506,2458972.913219048,58972.4150694,13.6241283,0.0115337046,0,zr,325.3485115,65.9271278,0.720000029,-0.00499999989,20200503415035,851,0x1,0x4,20.1299992,25.6529961,0.0255139656,0.107302509,6.89444914e-06,30,1.53900003,1
851201400007970,121936121,2458973.8593758866,58973.3612153,13.598012,0.0115271201,0,zr,325.3485384,65.9271253,0.778999984,-0.0489999987,20200504361204,851,0x1,0x4,20.0200005,25.9295578,0.0200445931,0.102740832,4.21829782e-06,30,1.78299999,1
851201400007970,122036370,2458974.861876469,58974.3637037,13.5798273,0.0115226572,0,zr,325.3486049,65.9271067,1.21099997,-0.0939999968,20200505363657,851,0x1,0x4,19.7600002,25.9243431,0.0261394363,0.0980125517,7.13355257e-06,30,1.75300002,1
851201400007970,122144856,2458975.9467514516,58975.4485648,13.5892611,0.0115249604,0,zr,325.3484733,65.927127,0.880999982,0.0270000007,20200506448565,851,0x1,0x4,20.2299995,26.0178223,0.0179929677,0.0916492641,3.35567552e-06,30,1.403,1
851201400007970,122235236,2458976.8505597403,58976.3523611,13.5539579,0.0115164779,0,zr,325.3485186,65.9271252,1.14199996,-0.0370000005,20200507352326,851,0x1,0x4,19.3199997,25.93046,0.027055664,0.108561948,7.55237352e-06,30,1.78699994,1
851201400007970,122346921,2458977.9674272104,58977.469213,13.5210934,0.0115089072,0,zr,325.3485041,65.9271345,0.689999998,0.023,20200508469213,851,0x1,0x4,19.7299995,25.8053665,0.0243567955,0.110283628,6.17424575e-06,30,1.34200001,1
851201400007970,122546502,2458979.963266769,58979.4650231,13.4837437,0.0115006734,0,zr,325.3485505,65.9271327,1.51199996,0.0160000008,20200510465023,851,0x1,0x4,20.4500008,25.9379807,0.0232347492,0.0954796895,5.65908385e-06,30,1.33899999,1
851201400007970,122647168,2458980.969949169,58980.4716898,13.4554214,0.0114946831,0,zr,325.3485637,65.9271401,0.99000001,-0.0399999991,20200511471690,851,0x1,0x4,20.1499996,26.0055771,0.0215104744,0.108773865,4.88283149e-06,30,1.32099998,1
851201400007970,122745440,2458981.9526849263,58981.4544097,13.4732132,0.0114984205,0,zr,325.3484992,65.9271365,0.55400002,-0.0500000007,20200512454363,851,0x1,0x4,20.5499992,26.0004139,0.0165084135,0.0928264409,2.89958962e-06,30,1.35000002,1
851201400007970,122938627,2458983.884581006,58983.3862731,13.4431639,0.0114921564,0,zr,325.3484979,65.9271245,0.860000014,-0.0560000017,20200514386273,851,0x1,0x4,20.7700005,25.9442463,0.0159333423,0.0906125978,2.66287907e-06,30,1.53400004,1
851201400007970,123146894,2458985.967292238,58985.4689468,13.425972,0.0114886807,0,zr,325.3485963,65.9271606,2.32500005,-0.0810000002,20200516468947,851,0x1,0x4,20.5100002,26.0170231,0.0212637056,0.0927812681,4.78429729e-06,30,1.30200005,1
851201400007970,123247528,2458986.973653783,58986.4752894,13.397131,0.0114830192,0,zr,325.3484978,65.9271389,0.954999983,0.00600000005,20200517475289,851,0x1,0x4,21.0400009,26.0160007,0.0182627849,0.0925352871,3.54233066e-06,30,1.28900003,1
851201400007970,123335282,2458987.851205375,58987.3528241,13.4015894,0.0114838816,0,zr,325.3485123,65.9271257,1.07700002,-0.0250000004,20200518352766,851,0x1,0x4,20.9200001,25.9705372,0.0166032687,0.093009159,2.90872686e-06,30,1.62899995,1
851201400007970,123746060,2458991.9590677475,58991.4606019,13.4299994,0.0114894891,0,zr,325.3484763,65.927122,0.83099997,-0.0340000018,20200522460509,851,0x1,0x4,21.1900005,26.0180473,0.01831837,0.0811533406,3.55248221e-06,30,1.28999996,1
851201400007970,123843039,2458992.9288805085,58992.4303935,13.3980551,0.011483198,0,zr,325.348576,65.9271481,1.18700004,-0.0529999994,20200523430382,851,0x1,0x4,20.7299995,26.0019627,0.0201126784,0.10874293,4.29841793e-06,30,1.33700001,1
851201400007970,124147432,2458995.972885109,58995.4743287,13.4288321,0.0114892544,0,zr,325.3485308,65.9271485,1.10300004,0.0120000001,20200526474271,851,0x1,0x4,20.9099998,26.0089092,0.0187230632,0.0922461599,3.6679553e-06,30,1.26100004,1
851201400007970,124247506,2458996.9736495656,58996.4750694,13.433341,0.0114901615,0,zr,325.3484778,65.9271296,0.628000021,0.00200000009,20200527475058,851,0x1,0x4,21.0100002,26.0024509,0.016950313,0.0920035094,2.97397128e-06,30,1.25800002,1
851201400007970,124345097,2458997.9495759574,58997.4509722,13.4272966,0.0114889462,0,zr,325.3485476,65.9271462,1.86300004,-0.111000001,20200528450961,851,0x1,0x4,20.7399998,25.9983387,0.0202546548,0.108934537,4.2359261e-06,30,1.28100002,1
851201400007970,124447548,2458998.974115101,58998.4754861,13.4377785,0.0114910593,0,zr,325.3484741,65.9271274,1.00300002,0.0,20200529475486,851,0x1,0x4,21.0200005,25.9979115,0.0157165565,0.0886359885,2.55994951e-06,30,1.25300002,1
851201400007970,124532876,2458999.827411909,58999.3287616,13.4077148,0.0114850719,0,zr,325.3485561,65.927105,0.81400001,-0.00400000019,20200530328715,851,0x1,0x4,20.0,25.9532833,0.0394720286,0.110468395,1.65132969e-05,30,1.59000003,1
851201400007970,125934032,2459013.8393665957,59013.3403241,13.3707876,0.011478032,0,zr,325.3485099,65.9271517,0.449000001,0.00200000009,20200613340278,851,0x1,0x4,20.75,26.0414696,0.0248585194,0.0998971015,6.5516324e-06,30,1.41600001,1
851201400007970,126247697,2459016.9761189437,59016.4769792,13.372694,0.0114783878,0,zr,325.3484705,65.927136,1.43099999,-0.0860000029,20200616476979,851,0x1,0x4,20.8899994,26.0225563,0.0161142219,0.0920096263,2.70628402e-06,30,1.23800004,1
