Name,RA,Dec,SED_Slope,YSO_Class,LCType
J102723.91-582354.9,156.849866,-58.398554,-0.81,ClassII,NV
J140742.20-612953.7,211.925699,-61.498218,0.39,ClassI,NV
J181656.82-121326.4,274.23694,-12.223787,0.59,ClassI,NV
J202105.47+393349.0,305.272782,39.563683,0.23,FS,NV
J180553.82-203933.6,271.474278,-20.659491,-0.33,ClassII,NV
J224628.41+620555.6,341.618537,62.098811,-0.79,ClassII,NV
J144457.11-602641.5,221.238109,-60.444673,-0.35,ClassII,NV
J172559.88-360605.0,261.499615,-36.101384,-0.82,ClassII,Irregular
J170205.23-415127.2,255.521794,-41.857545,-0.35,ClassII,NV
J102453.15-582349.3,156.221481,-58.397062,0.72,ClassI,NV
J103336.71-580828.7,158.403005,-58.141312,-1.45,ClassII,Irregular
J101712.63-571704.6,154.302811,-57.284726,-0.43,ClassII,Irregular
J101647.36-570017.8,154.197346,-57.004787,-0.16,FS,NV
J132146.93-623843.3,200.4454,-62.645368,-0.4,ClassII,NV
J165823.61-401659.8,254.598435,-40.283311,-1.67,ClassIII,NV
J203626.50+411828.6,309.110502,41.308058,-1.81,ClassIII,NV
J163952.08-472645.8,249.967004,-47.445937,0.63,ClassI,NV
J192842.88+161600.1,292.178726,16.266719,2.45,ClassI,NV
J170337.96-462443.9,255.908104,-46.412216,0.19,FS,NV
J165754.25-430925.3,254.476077,-43.157126,0.24,FS,Irregular
J175807.40-244151.8,269.530901,-24.697717,-1.01,ClassII,NV
J165336.48-443649.6,253.40207,-44.613792,-0.7,ClassII,Irregular
J201825.32+404521.3,304.605568,40.7559,-1.46,ClassII,NV
J203044.75+402122.4,307.686543,40.356274,-1.24,ClassII,NV
J141741.42-612623.6,214.422799,-61.439711,0.66,ClassI,NV
J203214.92+411409.8,308.062287,41.236047,-1.86,ClassIII,NV
J202454.51+394047.3,306.227111,39.679797,-0.74,ClassII,Drop
J202256.83+371158.2,305.736914,37.199564,-0.38,ClassII,NV
J181806.81-165119.7,274.528462,-16.855522,0.2,FS,Linear
J154256.51-545946.9,235.73552,-54.996445,-0.72,ClassII,NV
J181034.55-192153.6,272.644038,-19.364878,-1.82,ClassIII,Irregular
J174443.49-285449.7,266.181152,-28.91377,-1.55,ClassII,NV
J183108.92-115054.8,277.787414,-11.848689,-0.45,ClassII,NV
J100730.79-571739.1,151.878301,-57.294237,-0.84,ClassII,NV
J180245.54-290145.8,270.689697,-29.029306,-1.42,ClassII,NV
J102959.24-581736.7,157.49712,-58.29351,0.8,ClassI,NV
J084857.68-442008.9,132.240282,-44.335903,0.04,FS,NV
J202716.45+415330.8,306.818402,41.892013,-0.41,ClassII,NV
J084340.64-405123.2,130.919334,-40.856494,-0.36,ClassII,Irregular
J203832.86+420811.9,309.637086,42.136743,-0.98,ClassII,NV
J230451.05+602305.9,346.212555,60.384991,-1.05,ClassII,NV
J202920.49+420125.4,307.335378,42.023772,-1.94,ClassIII,Irregular
J172923.14-343100.5,262.346489,-34.516851,-0.21,FS,Irregular
J193421.13+205254.0,293.58801,20.881675,-0.45,ClassII,NV
J185249.20+022451.3,283.205018,2.414158,0.06,FS,Irregular
J202524.21+390515.6,306.350891,39.087612,-1.22,ClassII,NV
J222542.49+574059.4,336.427003,57.683187,0.81,ClassI,Linear
J201953.23+405210.6,304.971663,40.869467,0.88,ClassI,NV
J225344.12+593703.5,343.433792,59.617652,-0.13,FS,Irregular
J203351.30+415437.6,308.463782,41.910523,-0.18,FS,NV
J090811.43-480639.5,137.047666,-48.111021,0.19,FS,Linear
J192942.78+181420.4,292.428244,18.239013,-0.51,ClassII,NV
J091018.94-484548.2,137.578906,-48.763412,-1.76,ClassIII,NV
J144958.14-593234.5,222.492312,-59.542764,0.02,FS,NV
J184215.55-033444.2,280.564768,-3.578802,-0.77,ClassII,NV
J185217.96+002451.7,283.074813,0.414412,-0.01,FS,NV
J183519.16-072501.5,278.829759,-7.416781,2.03,ClassI,NV
J135211.70-613216.1,208.048912,-61.537634,-1.65,ClassIII,NV
J203653.85+424512.7,309.22443,42.753441,-2.15,ClassIII,NV
J093559.18-514806.5,143.996654,-51.801845,-0.25,FS,NV
J132029.57-623417.8,200.123436,-62.571643,0.15,FS,Irregular
J150459.97-572530.7,226.249854,-57.425154,-0.28,FS,NV
J194908.05+264212.6,297.283505,26.703595,-1.0,ClassII,NV
J093407.87-513217.6,143.532859,-51.53824,-0.22,FS,Irregular
J144505.68-585952.5,221.27365,-58.997855,-1.94,ClassIII,Irregular
J192309.37+142213.6,290.789164,14.370429,0.98,ClassI,NV
J111319.61-611828.9,168.331244,-61.30816,-0.93,ClassII,NV
J085011.91-434903.6,132.550025,-43.817761,-0.24,FS,NV
J173051.92-311556.8,262.716387,-31.265858,-1.7,ClassIII,NV
J181309.62-161924.8,273.290039,-16.323671,-0.5,ClassII,NV
J152951.27-555636.3,232.463897,-55.943471,-1.39,ClassII,NV
J181704.68-162707.3,274.269493,-16.452033,-0.75,ClassII,NV
J153352.50-555248.3,233.468954,-55.880063,-1.89,ClassIII,NV
J171713.35-374456.1,259.305623,-37.748923,-1.15,ClassII,NV
J145024.60-595839.1,222.60264,-59.977218,-1.38,ClassII,NV
J170103.94-424839.3,255.266412,-42.811013,-1.12,ClassII,NV
J203644.32+393836.4,309.18466,39.643458,-0.17,FS,Irregular
J170056.91-425637.4,255.237131,-42.943798,-0.06,FS,Irregular
J204123.86+393658.0,310.349461,39.61612,-1.5,ClassII,NV
J154220.81-542346.3,235.586864,-54.396119,-0.44,ClassII,NV
J130822.26-620822.8,197.092958,-62.139748,-0.21,FS,Irregular
J203629.48+401638.2,309.122855,40.277292,-1.19,ClassII,NV
J181530.32-122236.7,273.876298,-12.376922,-0.4,ClassII,NV
J131742.94-625518.1,199.429092,-62.921656,0.71,ClassI,NV
J110436.74-610238.7,166.153223,-61.044069,-0.2,FS,NV
J085831.23-435226.5,134.63013,-43.874328,-0.83,ClassII,Irregular
J092327.70-500718.6,140.865344,-50.121863,-0.75,ClassII,NV
J223651.84+583259.2,339.215898,58.549842,0.51,ClassI,Burst
J193749.84+210239.8,294.457957,21.044614,0.47,ClassI,NV
J172826.61-372400.1,262.110714,-37.399868,0.86,ClassI,NV
J151058.12-575353.1,227.742171,-57.897964,1.38,ClassI,NV
J155442.61-515926.1,238.677568,-51.990624,-1.65,ClassIII,NV
J140030.50-604519.2,210.127062,-60.755311,-0.4,ClassII,Curved
J183743.55-014210.5,279.431461,-1.702905,-0.55,ClassII,Irregular
J121912.46-620504.9,184.802072,-62.084803,-0.14,FS,NV
J204015.82+422029.2,310.065886,42.34148,-0.27,FS,NV
J191641.95+124204.7,289.174914,12.701318,-1.28,ClassII,NV
J122948.12-633711.7,187.450763,-63.62008,-0.92,ClassII,Curved
J202320.00+372957.9,305.833125,37.499326,-0.17,FS,NV
J191015.72+072405.3,287.565568,7.401395,-1.9,ClassIII,NV
J141118.50-604848.3,212.82706,-60.8133,-1.79,ClassIII,NV
J171709.38-361724.8,259.289169,-36.290273,-1.63,ClassIII,NV
J193113.53+191716.0,292.806515,19.287756,-1.33,ClassII,Burst
J180406.80-255655.6,271.028358,-25.948804,-1.23,ClassII,NV
J180434.05-203131.0,271.141986,-20.525338,-1.04,ClassII,NV
J085200.87-461417.9,133.003619,-46.238322,0.79,ClassI,Curved
J202857.58+403101.4,307.240005,40.517084,-0.58,ClassII,Irregular
J084554.87-435440.7,131.478625,-43.911262,-1.17,ClassII,NV
J192315.53+150741.6,290.814712,15.128079,-0.21,FS,NV
J124755.22-625318.7,191.980021,-62.888559,0.38,ClassI,Irregular
J085823.79-472324.9,134.599097,-47.390188,-1.2,ClassII,NV
J103756.43-583520.9,159.48534,-58.589148,-0.58,ClassII,NV
J182511.29-130656.5,276.297117,-13.115738,-0.79,ClassII,Irregular
J094317.33-535643.3,145.822186,-53.94535,0.08,FS,NV
