Source,RA,Dec,Paper,LCType,YSO_Class
NEOWISE_NS_157,296.441936,23.762405,Neha_Sharma,NV,ClassIII
NEOWISE_NS_158,158.467641,-58.996268,Neha_Sharma,Irregular,ClassII
NEOWISE_NS_159,178.969127,-63.313147,Neha_Sharma,NV,ClassIII
NEOWISE_NS_160,193.837267,-63.369241,Neha_Sharma,Irregular,FS
NEOWISE_NS_161,175.540009,-63.537904,Neha_Sharma,NV,ClassII
NEOWISE_NS_162,295.968326,23.488635,Neha_Sharma,NV,ClassII
NEOWISE_NS_163,290.04012,14.036623,Neha_Sharma,NV,ClassII
NEOWISE_NS_164,183.234259,-61.833029,Neha_Sharma,Irregular,ClassII
NEOWISE_NS_165,236.173279,-53.89938,Neha_Sharma,NV,ClassIII
NEOWISE_NS_166,294.69272,22.696083,Neha_Sharma,NV,ClassII
NEOWISE_NS_167,133.169196,-46.031546,Neha_Sharma,NV,ClassII
NEOWISE_NS_168,212.679987,-60.984389,Neha_Sharma,NV,ClassI
NEOWISE_NS_169,304.139784,41.893235,Neha_Sharma,NV,FS
NEOWISE_NS_170,274.669056,-20.847282,Neha_Sharma,Irregular,FS
NEOWISE_NS_171,253.305665,-43.422955,Neha_Sharma,NV,ClassIII
NEOWISE_NS_172,134.486599,-44.121472,Neha_Sharma,NV,ClassII
NEOWISE_NS_173,244.866506,-46.535272,Neha_Sharma,NV,ClassII
NEOWISE_NS_174,307.808303,41.203325,Neha_Sharma,NV,ClassII
NEOWISE_NS_175,276.407707,-10.218474,Neha_Sharma,Drop,ClassII
NEOWISE_NS_176,176.303336,-61.748144,Neha_Sharma,Irregular,ClassII
NEOWISE_NS_177,204.086717,-61.339263,Neha_Sharma,NV,ClassII
NEOWISE_NS_178,274.867276,-16.068554,Neha_Sharma,NV,ClassII
NEOWISE_NS_179,242.801738,-50.354339,Neha_Sharma,NV,ClassII
NEOWISE_NS_180,157.726616,-58.273166,Neha_Sharma,NV,ClassII
NEOWISE_NS_181,130.731934,-41.23801,Neha_Sharma,Irregular,ClassII
NEOWISE_NS_182,143.713993,-51.602531,Neha_Sharma,Irregular,ClassIII
NEOWISE_NS_183,279.128518,-6.828465,Neha_Sharma,NV,ClassII
NEOWISE_NS_184,191.553983,-63.330859,Neha_Sharma,NV,ClassII
NEOWISE_NS_185,270.576767,-19.923618,Neha_Sharma,Irregular,ClassI
NEOWISE_NS_186,135.886423,-47.047805,Neha_Sharma,NV,ClassI
NEOWISE_NS_187,133.915635,-43.431919,Neha_Sharma,NV,ClassII
NEOWISE_NS_188,207.879411,-61.720831,Neha_Sharma,NV,ClassII
NEOWISE_NS_189,254.707333,-39.97668,Neha_Sharma,NV,ClassII
NEOWISE_NS_190,184.482247,-62.945353,Neha_Sharma,Irregular,ClassII
NEOWISE_NS_191,306.225505,37.374791,Neha_Sharma,NV,ClassII
NEOWISE_NS_192,236.806711,-54.247916,Neha_Sharma,NV,ClassII
NEOWISE_NS_193,272.32559,-23.467314,Neha_Sharma,NV,FS
NEOWISE_NS_194,221.237217,-60.167357,Neha_Sharma,NV,FS
NEOWISE_NS_195,253.589614,-45.443339,Neha_Sharma,NV,ClassII
NEOWISE_NS_196,130.431654,-40.764403,Neha_Sharma,Irregular,ClassII
NEOWISE_NS_197,275.015219,-11.622971,Neha_Sharma,Irregular,ClassII
NEOWISE_NS_198,333.03068,58.886778,Neha_Sharma,Irregular,ClassI
NEOWISE_NS_199,222.324881,-59.845114,Neha_Sharma,NV,ClassII
NEOWISE_NS_200,156.849866,-58.398554,Neha_Sharma,NV,ClassII
NEOWISE_NS_201,211.925699,-61.498218,Neha_Sharma,NV,ClassI
NEOWISE_NS_202,274.23694,-12.223787,Neha_Sharma,NV,ClassI
NEOWISE_NS_203,305.272782,39.563683,Neha_Sharma,NV,FS
NEOWISE_NS_204,271.474278,-20.659491,Neha_Sharma,NV,ClassII
NEOWISE_NS_205,341.618537,62.098811,Neha_Sharma,NV,ClassII
NEOWISE_NS_206,221.238109,-60.444673,Neha_Sharma,NV,ClassII
NEOWISE_NS_207,261.499615,-36.101384,Neha_Sharma,Irregular,ClassII
NEOWISE_NS_208,255.521794,-41.857545,Neha_Sharma,NV,ClassII
NEOWISE_NS_209,156.221481,-58.397062,Neha_Sharma,NV,ClassI
NEOWISE_NS_210,158.403005,-58.141312,Neha_Sharma,Irregular,ClassII
NEOWISE_NS_211,154.302811,-57.284726,Neha_Sharma,Irregular,ClassII
NEOWISE_NS_212,154.197346,-57.004787,Neha_Sharma,NV,FS
NEOWISE_NS_213,200.4454,-62.645368,Neha_Sharma,NV,ClassII
NEOWISE_NS_214,254.598435,-40.283311,Neha_Sharma,NV,ClassIII
NEOWISE_NS_215,309.110502,41.308058,Neha_Sharma,NV,ClassIII
NEOWISE_NS_216,249.967004,-47.445937,Neha_Sharma,NV,ClassI
NEOWISE_NS_217,292.178726,16.266719,Neha_Sharma,NV,ClassI
NEOWISE_NS_218,255.908104,-46.412216,Neha_Sharma,NV,FS
NEOWISE_NS_219,254.476077,-43.157126,Neha_Sharma,Irregular,FS
NEOWISE_NS_220,269.530901,-24.697717,Neha_Sharma,NV,ClassII
NEOWISE_NS_221,253.40207,-44.613792,Neha_Sharma,Irregular,ClassII
NEOWISE_NS_222,304.605568,40.7559,Neha_Sharma,NV,ClassII
NEOWISE_NS_223,307.686543,40.356274,Neha_Sharma,NV,ClassII
NEOWISE_NS_224,214.422799,-61.439711,Neha_Sharma,NV,ClassI
NEOWISE_NS_225,308.062287,41.236047,Neha_Sharma,NV,ClassIII
NEOWISE_NS_226,306.227111,39.679797,Neha_Sharma,Drop,ClassII
NEOWISE_NS_227,305.736914,37.199564,Neha_Sharma,NV,ClassII
