Name,RA,Dec,SED_Slope,YSO_Class,LCType
J181907.73-161915.3,274.782251,-16.320937,-1.0,ClassII,Irregular
J182513.82-132102.4,276.307438,-13.350465,-0.4,ClassII,Curved
J225349.30+593712.2,343.45539,59.620088,-0.78,ClassII,Irregular
J191349.43+122927.3,288.45606,12.4909,-2.3,ClassIII,Burst
J192632.22+152809.7,291.634341,15.469278,-0.59,ClassII,Irregular
J202136.06+404756.2,305.400343,40.798967,0.08,FS,Irregular
J135911.78-610523.9,209.799208,-61.089756,-0.49,ClassII,Irregular
J142149.87-615501.3,215.457752,-61.916909,-0.71,ClassII,Irregular
J103115.05-580442.8,157.81242,-58.078603,-0.15,FS,Irregular
J193021.58+175027.1,292.589948,17.840805,-0.51,ClassII,Irregular
J084516.38-410939.1,131.318306,-41.160895,-0.98,ClassII,Irregular
J203459.33+380951.7,308.74719,38.164409,-0.43,ClassII,Burst
J090214.53-474544.9,135.56069,-47.762499,0.38,ClassI,Burst
J091319.85-475730.7,138.332687,-47.958617,-0.22,FS,Irregular
J170058.39-425419.2,255.243277,-42.905438,-1.85,ClassIII,Irregular
J182958.37-091903.0,277.493214,-9.317253,-1.15,ClassII,Irregular
J191940.88+135711.2,289.920432,13.953088,-0.29,FS,Irregular
J160358.73-521812.3,240.994916,-52.303342,-0.69,ClassII,Curved
J130649.93-620822.4,196.707579,-62.139757,-0.61,ClassII,Curved
J085808.99-474208.5,134.537471,-47.702251,1.39,ClassI,Irregular
J093214.53-515253.0,143.06064,-51.881392,-0.08,FS,Periodic
J165011.14-460629.4,252.546441,-46.10822,-0.18,FS,Irregular
J184549.12-001938.3,281.454926,-0.327267,-0.24,FS,Irregular
J164602.35-461542.5,251.509905,-46.261818,-0.13,FS,Irregular
J202808.89+394236.3,307.037115,39.710141,-0.75,ClassII,Irregular
J182138.21-140401.9,275.409258,-14.067149,-1.28,ClassII,Burst
J091129.89-483939.1,137.874586,-48.660884,-0.38,ClassII,Irregular
J123001.56-623842.9,187.506307,-62.645245,0.4,ClassI,Burst
J085135.86-425255.1,132.899465,-42.882011,0.85,ClassI,Irregular
J223620.10+593245.4,339.08341,59.546146,-0.18,FS,Periodic
J181957.69-132059.6,274.990509,-13.349925,0.33,ClassI,Irregular
J194349.82+235649.3,295.95763,23.947034,-1.39,ClassII,Irregular
J131327.90-620336.0,198.366371,-62.060022,-1.0,ClassII,Irregular
J142154.54-610352.9,215.477204,-61.064645,-0.35,ClassII,Curved
J084925.90-412956.7,132.357687,-41.49913,0.57,ClassI,Irregular
J171912.58-361131.7,259.802429,-36.192231,-0.32,ClassII,Irregular
J202927.64+412034.7,307.365181,41.342974,-1.08,ClassII,Irregular
J113826.27-631945.1,174.609335,-63.329238,-0.69,ClassII,Drop
J160226.81-511016.1,240.611748,-51.171178,-1.4,ClassII,Irregular
J173534.79-323543.7,263.895038,-32.595567,-1.11,ClassII,Irregular
J181608.25-195603.1,274.03437,-19.934324,3.03,ClassI,Irregular
J194637.20+253906.6,296.654996,25.651984,-0.67,ClassII,Irregular
J103204.59-590705.4,158.019168,-59.118169,0.8,ClassI,Irregular
J224901.12+595450.0,342.254693,59.913896,0.44,ClassI,Irregular
J142044.92-603555.0,215.187104,-60.598525,0.35,ClassI,Irregular
J184654.41-034256.3,281.726604,-3.715492,-0.52,ClassII,Burst
J090242.48-464034.7,135.676978,-46.676363,-0.6,ClassII,Irregular
J165907.96-400538.7,254.783222,-40.093934,-1.1,ClassII,Burst
J090208.18-474419.1,135.534128,-47.738709,-0.79,ClassII,Irregular
J154957.02-544857.8,237.487415,-54.816003,-1.4,ClassII,Periodic
J100444.60-571854.1,151.185897,-57.315038,0.74,ClassI,Irregular
J191811.32+125456.8,289.547268,12.915797,-2.33,ClassIII,Burst
J111534.18-604900.7,168.892359,-60.816863,-0.88,ClassII,Irregular
J203428.46+400304.7,308.618731,40.051386,-0.45,ClassII,Irregular
J185428.88+004607.3,283.620314,0.76873,-1.34,ClassII,Periodic
J181626.06-170535.7,274.108685,-17.093228,-0.63,ClassII,Irregular
J143212.56-603418.3,218.052445,-60.571737,-0.5,ClassII,Irregular
J193553.65+202804.8,293.973655,20.468032,-0.79,ClassII,Irregular
J153615.09-553730.9,234.062847,-55.625256,-0.05,FS,Irregular
J084921.55-412952.8,132.339477,-41.498065,0.91,ClassI,Irregular
J224524.75+594652.6,341.353103,59.781274,0.14,FS,Linear
J085950.94-434952.9,134.962308,-43.831379,-0.94,ClassII,Irregular
J161723.32-492126.6,244.347151,-49.35732,-1.88,ClassIII,Irregular
J182021.64-142646.8,275.090187,-14.44641,0.25,FS,Irregular
J202308.43+420102.6,305.785087,42.01733,0.25,FS,Irregular
J130016.82-633152.9,195.070181,-63.531325,-1.01,ClassII,Periodic
J090237.86-463330.6,135.657775,-46.558533,-0.41,ClassII,Irregular
J144456.52-593416.6,221.23544,-59.571192,-1.49,ClassII,Linear
J191857.25+122135.8,289.73853,12.359923,-0.04,FS,Irregular
J124904.69-625815.3,192.269631,-62.97093,-0.12,FS,Irregular
J135645.02-610838.7,209.187656,-61.143975,-0.51,ClassII,Irregular
J174715.50-334857.4,266.814488,-33.81568,-0.35,ClassII,Irregular
J193015.23+164139.7,292.563417,16.694227,-0.01,FS,Irregular
J165059.82-443453.0,252.749368,-44.581446,-0.52,ClassII,Irregular
J165247.72-430224.7,253.198701,-43.040396,-0.33,ClassII,Irregular
J160959.09-504827.4,242.496076,-50.807513,-0.64,ClassII,Periodic
J202109.73+390105.0,305.290657,39.018084,0.03,FS,Irregular
J181342.79-204833.0,273.428513,-20.809423,-0.08,FS,Irregular
J114451.39-620812.1,176.214263,-62.136789,-0.45,ClassII,Linear
J123207.24-631446.6,188.030332,-63.246332,-0.92,ClassII,Irregular
J122712.96-625043.6,186.804269,-62.845449,0.52,ClassI,Irregular
J182554.87-131818.4,276.478701,-13.30516,-0.92,ClassII,Irregular
J194500.55+235126.7,296.252378,23.857438,-0.32,ClassII,Irregular
J135724.44-620448.1,209.351649,-62.079909,0.32,ClassI,Periodic
J155212.06-533824.3,238.050168,-53.640044,-1.17,ClassII,Irregular
J125009.03-625005.8,192.537608,-62.834875,-0.7,ClassII,Irregular
J171719.59-354214.4,259.33168,-35.703949,0.08,FS,Irregular
J171029.22-390505.0,257.621967,-39.084695,-0.78,ClassII,Irregular
J202557.90+402228.5,306.491423,40.374636,0.71,ClassI,Irregular
J182622.38-115703.3,276.59333,-11.950983,-1.99,ClassIII,Irregular
J085755.86-474150.0,134.482757,-47.697257,-1.3,ClassII,Irregular
J113616.05-630639.9,174.067127,-63.111373,0.08,FS,Irregular
J171239.18-382122.4,258.163211,-38.356226,0.18,FS,Irregular
J190346.39+063111.1,285.94346,6.519786,-0.91,ClassII,Irregular
J162512.06-491233.0,246.30023,-49.209072,-1.35,ClassII,Burst
J084822.27-424115.1,132.092814,-42.687553,-0.21,FS,Irregular
J175858.47-234903.1,269.743579,-23.817566,-0.55,ClassII,Irregular
J192403.25+160554.6,291.013572,16.098511,-0.15,FS,Curved
J175345.12-244845.5,268.438029,-24.81262,-0.82,ClassII,Irregular
J113730.37-630051.9,174.376195,-63.014448,-0.3,FS,Irregular
J084321.92-412817.9,130.841362,-41.47166,0.16,FS,Irregular
J122738.66-630222.5,186.911138,-63.039639,-0.45,ClassII,Linear
J221516.21+580743.5,333.817529,58.128808,-0.06,FS,Linear
J180951.31-234043.6,272.463832,-23.678778,-1.12,ClassII,Irregular
J183214.98-103734.9,278.062515,-10.626414,0.05,FS,Irregular
